args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.01, weight_decay=0, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0292 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0293 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0294 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0295 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0296 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0297 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0298 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0299 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0300 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0301 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0302 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0303 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0304 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0305 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0306 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0307 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0308 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0309 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0310 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0311 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0312 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0313 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0314 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0315 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0316 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0317 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0318 loss_train: 1.8108 loss_val: 1.9134
